Tm,Year,age_computed_mean,age_computed_std,age_computed_min,age_computed_max,experience_mean,experience_std,experience_max,PER_mean,PER_max,PER_std,WS_sum,WS_mean,WS/48_mean,VORP_sum,VORP_mean,BPM_mean,PTS_mean,TRB_mean,AST_mean,G_mean,roster_size,nationality_diversity,avg_draft_pick,star_player_count,TEAM_ID,W,L,W_PCT,HOME_RECORD,ROAD_RECORD
HOU,1972,23.6,12.263767773404714,-19.0,33.0,5.0,4.077376607575022,14,11.111764705882353,19.4,4.211722087362421,41.800000000000004,2.458823529411765,0.05435294117647059,0.0,,,558.0588235294117,279.70588235294116,113.88235294117646,50.705882352941174,17,1,6.428571428571429,0,1610612745.0,,,,,
HOU,1973,22.6875,11.241107596673915,-18.0,29.0,4.882352941176471,3.1992646213852107,12,10.200000000000001,17.5,6.3627824102353205,37.0,2.176470588235294,0.012705882352941174,0.0,,,549.7647058823529,244.58823529411765,114.70588235294117,45.529411764705884,17,1,7.466666666666667,0,1610612745.0,,,,,
HOU,1974,27.789473684210527,8.141655219155522,18.0,59.0,6.8,5.415377714386475,20,11.775,20.5,4.3565890810418,43.7,2.185,0.0516,8.5,0.425,-3.0,456.25,191.65,118.15,42.65,20,1,7.444444444444445,1,1610612745.0,,,,,
HOU,1975,25.818181818181817,1.6011359603844901,24.0,29.0,3.6666666666666665,2.188122205883115,8,15.049999999999999,18.9,2.6466101818260754,44.6,3.716666666666667,0.09058333333333334,11.1,0.9249999999999999,-0.7166666666666667,710.0833333333334,306.0,179.58333333333334,66.08333333333333,12,1,7.181818181818182,0,1610612745.0,,,,,
HOU,1976,26.166666666666668,1.992409839791244,23.0,29.0,4.153846153846154,2.154303980645638,7,13.838461538461539,19.9,3.089373847437497,40.6,3.123076923076923,0.061230769230769234,9.1,0.7,-1.830769230769231,669.8461538461538,284.84615384615387,170.23076923076923,56.92307692307692,13,1,8.166666666666666,0,1610612745.0,,,,,
HOU,1977,26.75,2.0943647333651407,24.0,30.0,4.071428571428571,2.758602927187983,8,12.957142857142857,19.8,4.431480788407186,47.2,3.3714285714285714,0.060142857142857144,11.7,0.8357142857142856,-1.5714285714285714,623.2857142857143,277.57142857142856,136.64285714285714,58.42857142857143,14,1,7.2727272727272725,0,1610612745.0,,,,,
HOU,1978,24.833333333333332,7.196813020154048,-2.0,32.0,4.7,3.0966875341581566,12,11.665000000000001,21.2,5.695637758292236,31.4,1.5699999999999998,0.0241,5.6000000000000005,0.28,-3.2049999999999996,427.9,186.55,98.2,39.35,20,1,9.25,1,1610612745.0,,,,,
HOU,1979,24.363636363636363,8.743828992755144,-1.0,31.0,5.857142857142857,2.741620600390126,9,13.971428571428572,23.7,3.498005711265199,48.4,3.457142857142857,0.10107142857142858,11.1,0.7928571428571428,-1.75,706.1428571428571,277.7142857142857,187.57142857142858,59.357142857142854,14,1,9.6,1,1610612745.0,,,,,
HOU,1980,25.076923076923077,8.015209900157933,0.0,32.0,5.8125,3.410156399150436,10,12.5,24.1,4.729904861622483,42.5,2.65625,0.0631875,10.0,0.625,-2.20625,593.375,231.9375,147.4375,51.5625,16,1,9.538461538461538,1,1610612745.0,,,,,
HOU,1981,24.833333333333332,8.189054039423972,1.0,33.0,5.785714285714286,4.172779398924404,12,12.757142857142856,25.1,5.5623340819803735,44.3,3.164285714285714,0.06614285714285714,9.9,0.7071428571428572,-1.9214285714285713,689.6428571428571,262.92857142857144,169.07142857142858,62.57142857142857,14,1,8.166666666666666,1,1610612745.0,,,,,
